"","GSM524151.CEL.gz","GSM524152.CEL.gz","GSM524153.CEL.gz","GSM524154.CEL.gz","GSM524155.CEL.gz","GSM524156.CEL.gz","GSM524157.CEL.gz","GSM524158.CEL.gz","GSM524159.CEL.gz","GSM524160.CEL.gz","GSM524161.CEL.gz","GSM524162.CEL.gz","GSM524163.CEL.gz","GSM524164.CEL.gz","GSM524165.CEL.gz","GSM524166.CEL.gz","GSM524167.CEL.gz","GSM524168.CEL.gz","GSM524169.CEL.gz","GSM524170.CEL.gz"
"Hs.288718.0.S1_3p_at",3.89664340838306,3.79780228862241,5.66391413897444,4.47678044287293,3.90208635357137,4.97467758756837,4.22861449117119,5.70764758474144,4.09989179307358,3.96723130466035,4.91822691698792,4.69048111937615,4.57966352859861,4.48597398144084,5.06233309147131,5.41866003884,5.47731752037051,5.36468690813733,3.00556878932484,4.47282829826367
"g4885638_3p_s_at",7.40963373802317,7.40978598412561,7.35866014458062,6.81962394999016,6.10344621924275,7.58809805279373,7.19409318357651,8.11707732082338,8.10612369946819,8.00295345355091,7.37130203051178,6.86345333432424,6.44465709839957,6.90413790087564,6.65991595000249,6.48234307849395,7.47099815934937,7.81887542050555,7.86439545559286,6.76792441655791
"Hs.92260.0.S2_3p_a_at",5.68240548423515,5.52976940828241,4.92333626170296,6.13731575401115,5.85748947121656,6.56751355291966,6.58589038238414,6.29770892913491,6.51089875857328,5.99552233093859,5.12093380172598,5.41955289085344,4.82983196304081,5.40919469707954,5.36528466771159,6.51825716394026,6.33087413991306,6.61023066634736,6.1199887075715,5.85434319684242
"Hs.14535.0.S1_3p_at",4.54969117420732,5.1888153900122,4.68775478114824,4.50593130409442,3.81953735290125,4.40157865786337,3.79962084386402,4.65673881804057,4.23707697838684,5.65691497225236,4.47470885606628,6.95234633853672,4.95562437016055,6.20244036734423,4.38669167683036,4.24533116052923,4.71382137631526,3.97737792558098,5.71708830711394,5.83246632516335
"Hs.306412.0.S1_3p_x_at",9.13869768133596,10.0208026875222,9.45295236076715,9.64694389013959,8.5614069747934,8.40297569890097,8.41837416942592,9.51062936531124,8.63803460863732,8.85512413204095,9.76483230113059,9.30828191204043,10.3395830312718,9.9491521986496,8.56488291514169,8.32557674687831,8.08308558006905,9.01881012232804,8.93483035481836,9.0778034941211
"g12803262_3p_s_at",7.93275272438888,6.6255549356461,6.15710329287998,7.15361230558967,7.63630807148418,8.35575233609186,8.33165847355649,7.94294913738263,7.86240151917867,8.01131726090158,7.74177630518368,7.84631676319259,6.65721284968259,6.47173088510295,8.40519487337971,8.18353825446734,7.38997938525547,8.12382266193197,7.80787383684289,7.73527849112302
"Hs.153527.1.S1_3p_a_at",4.57555026117479,4.37155474078921,4.23889172817105,4.63038628821711,5.24989917451543,5.68224646044242,6.0916898355121,6.66726955287215,5.69350105621355,6.90255312608861,4.25816207341668,3.66815114169163,4.29653567340233,4.41674966425728,4.59325833417911,5.1433402553492,5.47652720494504,3.71337572548275,6.61900704168277,5.76260497064916
"Hs.190488.5.A2_3p_a_at",5.25953655916105,4.77065301977188,4.40698241781004,4.58045381123033,5.26943750089223,5.89448663298916,6.27166605937225,6.01329155965567,5.60325631542324,6.2928777836424,4.62990761098005,4.39446934742597,4.80743921127376,4.5317106121573,5.38762047077428,5.85724758848039,5.39862760700974,5.28988897683989,6.35276288614318,4.4498951853246
"Hs.47068.0.A1_3p_at",5.06467822572099,4.7944743509403,4.60919127463104,4.78379393079784,4.95639459872731,5.44607100570495,5.3346299960434,6.12716611662984,6.62553148753267,6.10452713732812,4.99281919137593,4.19185826348448,4.43440046120039,5.04360699358372,3.93692236204411,5.13744241786955,6.23327669831575,5.67393690737391,5.70235545272801,5.2175445548384
"Hs.105621.0.S1_3p_at",6.27090315997372,6.65907977375037,7.38988819948865,6.57680797748568,8.53197137490474,8.46205680413476,7.88068843220888,7.78588461596065,8.10017260193559,8.07751310089876,7.44006681045879,6.13113877996287,6.14250382039581,7.2448862003671,7.15806864648983,7.20046900666197,8.76416186548022,8.07483383936731,8.09878761153768,7.7803172938588
"Hs.97275.0.A1_3p_at",6.30848461640201,6.61868262880841,6.40584089673485,5.52712379221817,6.77623591859234,7.67637145855148,6.88919561033219,6.85845117638905,7.50675552947985,7.42878245322017,6.30606489083764,5.79718611501959,5.63392550034037,6.46256111290486,7.43788600778062,7.38794059531734,7.66991702144434,7.5437815874958,7.67613686017188,7.40000389497322
"Hs.16346.0.A1_3p_at",3.9174583987156,3.58094045051292,3.9217196400294,4.65165679999002,5.59074196499716,5.97020846327131,5.7684422133221,6.20103484849603,6.62779723396909,6.74820575351504,4.48961632877406,4.43253247273585,4.42342672943995,4.48290069138664,4.58336437895781,6.39653412553175,6.2592323077741,6.09667121118112,5.91701529644708,4.93633375578696
"Hs2.363351.1.S1_3p_at",5.59042596416309,5.58763560671078,5.70688705498048,5.39417942395883,5.88226497937243,6.76637319149009,6.54438400008391,6.83593791970769,5.9778718038544,6.39591963081075,4.50270028189451,5.02459177579274,5.49833468716517,5.70688705498048,5.982968686177,6.72938881567425,6.52999176254225,6.60853988248065,6.06047858386177,7.28381186104365
"Hs.120058.0.A1_3p_at",7.81092490805559,7.84075714230173,7.23113568574377,7.32297615874873,8.50676812399371,7.69090925810281,7.40784423920807,7.40148781198551,8.14809720597946,7.55089055898969,7.5074089889935,7.27852196308836,7.10077465545819,7.66339979382862,8.78191350600409,8.98865940064852,8.61743755328058,7.91253219073505,8.59158955730278,8.63800690923708
"Hs.311109.0.A1_3p_at",4.21913946304586,4.90296443085757,4.0142655456483,4.58364798311582,4.98684702101846,5.3346304350779,4.94044893525897,3.8010272277862,4.22718286540583,6.04967438793487,4.64558745842581,4.32960114542494,4.06845523155262,4.4061814540114,3.59474800904976,2.73779228820018,3.96534544930069,4.8603201984256,3.79879484622523,3.6873829491333
"Hs.122113.0.A1_3p_at",7.74911002051817,7.23736386895135,6.63194048023492,7.15580952373053,7.47399657507688,7.50700622926065,8.06696836663596,8.62092027493235,8.57946724196843,8.71089682153966,6.96811597006229,6.08868254963519,6.9987720186122,7.10527562770577,6.7757846310222,6.97660532143568,7.70848075012894,8.00695377870797,7.78052181749883,8.3168422335237
"Hs.133130.1.S1_3p_at",6.34457859415118,5.98285318629213,5.97938903477163,6.87995215673652,7.9792313730433,7.75228514206596,7.68397824830033,8.05529081944588,7.58161425284348,7.56397476195921,6.42107342695148,6.48909701627195,5.84810619381659,6.23126525668959,7.86289007582202,7.97465031414043,7.88298026568382,7.49164750474877,7.4821324958859,7.24220645290487
"Hs.126709.0.A1_3p_at",3.65904998105061,3.8600105987346,3.08712348694414,3.34609430218932,4.05750739554643,5.71010652950302,5.27803301069253,4.99990918982913,4.37165406035158,4.9220737579054,4.22330988612624,3.74358037090711,3.70212054339812,3.72881933817733,3.51528758597397,4.01893540183655,4.59525365612013,6.21122914499249,5.51144014076366,4.18511203612635
"Hs.144405.0.S1_3p_at",9.23766645018573,9.22986029599798,8.90647414170978,9.88145427358929,10.6767474252721,10.1707589391157,10.0879493331205,10.1410327357949,9.4277165440982,9.94341721044561,8.9235688914986,9.14746889689826,9.44064308551989,9.33255354774726,11.1252007796752,10.0272096743511,10.6165073668756,9.7952280677758,10.1388291299424,10.0470857113184
"Hs.121604.0.S1_3p_at",3.39773641925364,3.18241894076887,3.95293806633212,3.40248756227672,4.4286041399559,4.66621974930901,3.70337137220099,4.50628984331972,3.65130807648896,4.16470775641067,3.4175205031467,3.20772628822518,4.00083867783963,4.33145241736198,3.8903598448349,4.40771980862057,4.74737343648478,5.15679766386771,4.03378680245751,4.30170619263856
"Hs.161209.0.A1_3p_at",4.96756812621724,4.89214047575372,4.59626775017901,5.1624526057913,5.18562191202499,5.81178282341741,6.46631437596052,4.39464869923431,5.22254598536424,5.59604814494039,3.65777959082443,4.52053865087942,3.96265070128749,4.27606371203983,5.41366814743908,4.97387831646076,5.81766519242601,3.9984490220606,6.03435207097529,4.26307816817708
"Hs.143812.0.S1_3p_x_at",7.31078368346971,8.47952649865415,8.413994006903,8.3747745332863,9.06161896371324,9.27364536159633,9.76601215074384,7.9407017663556,8.42304794711566,8.24408115356532,8.28607102675706,7.89017732678301,6.95477074981715,8.04407218954005,9.00543163548505,8.80234139244492,8.80888223807711,9.20395463846699,9.23590066823671,9.34211672463055
"Hs.62946.0.A1_3p_at",7.07441482478305,7.04370329000316,6.75943678514553,6.88789175264491,6.18076049257294,5.82293303522406,6.22174367184052,5.74946648690984,6.56686619163207,6.48904620733103,7.06804674570436,6.5272918974344,5.98572660879228,7.0502959481,6.74684670800979,6.00451219589684,6.80439556511271,6.2422308596366,5.98514657325684,6.16473001138062
"Hs.147491.0.A1_3p_at",8.15220274514084,6.31908435124689,5.6543290571823,7.44583639438554,7.6364140849184,7.90881745633929,8.19971705032102,7.74722275174388,7.00903879716512,8.99125851498792,7.74268867484633,6.96971570733099,7.80462566877035,8.32371763527674,7.40549121138061,7.3976923943962,8.45095584386279,8.005259814688,7.82341739432727,7.19596728481526
"Hs.124839.0.S1_3p_at",5.10891058454407,5.32098589582786,5.99879805345237,4.35558412950217,3.7748601175636,4.6137272712835,5.54622287165427,6.39971465684545,5.39310638239975,4.26549407301436,6.05942651124499,4.08624182827041,4.61211441658363,4.28312629824211,5.50915805523679,5.22057516366163,6.02409612515629,6.35503466916875,6.52035908340743,4.51240310597596
"Hs.264673.0.A1_3p_x_at",7.50092770381495,7.51482003214115,7.88519382705034,7.48155324271626,6.59735558801726,6.36883095497825,6.58644583732622,5.93956178897235,6.10552955764025,6.14044599123979,7.298853903283,7.69599451530548,7.60662836314979,7.56158163695413,6.61195791629001,6.30849336436032,6.40873690337817,6.48992755228921,6.50706739449361,6.65593989839969
"Hs.24572.0.S1_3p_at",3.5750185283409,4.04856062539232,2.64435623399087,3.515614585669,5.23721316687231,5.55084434937322,4.83170246075447,5.37845850919875,5.30245787131202,5.69144063480499,4.28141646335161,3.79578483706604,4.0656190316899,4.0979741364231,4.63708495316218,4.89127900126714,5.79195523181603,4.92055443770089,5.27006832144791,5.22339164329351
"Hs.101064.1.S1_3p_at",5.34890678990833,5.24813277883396,6.50307660898049,5.45326604830157,6.13629878176763,5.34654766356339,5.24892945432113,5.70883515022444,5.48947945764615,5.02434139123329,6.13998722895259,6.48115022651069,5.52677722602425,6.13476802882444,5.50721664148842,6.37618656565836,4.73620905644579,4.21558659130937,4.56616286249447,5.26448895489876
"Hs.227591.1.A1_3p_at",4.24111703574844,4.00020145861493,3.09426572622325,3.47107811760323,4.61301716814445,5.8033632487161,5.55347133324641,6.02661458842913,5.95626268816133,6.30678185539967,3.80421210224278,3.38906427317903,3.76683686166532,3.97831720948995,4.80952382394274,4.74862700577889,5.2475272860597,4.89675692499209,6.30507626329785,4.78167495834861
"238091_3p_at",3.79867997738473,4.2162797575963,4.94973801359635,4.05597667415451,4.17889093254678,5.09396584806123,3.87564175874101,3.67070837130588,3.7767517903635,3.81670835355855,4.06700681685375,5.58710146498707,3.73909805174953,5.06037554701687,4.89358422582369,4.17837722126183,4.60867909825373,4.23168217116199,3.45088058547652,5.06025134212003
"Hs2.367426.1.S1_3p_at",4.20783723089333,4.4076084199336,4.66238024608534,4.59511076958058,3.59636643880411,3.3147868535861,3.4949154069016,3.22229053285839,3.30690149112768,3.31050826532189,4.35320972302449,4.12794789942375,4.77918662070473,4.22164664329169,3.59669397945277,3.60683025956588,3.32640659803359,3.62306448935463,3.44327748302982,3.39564960164323
"Hs.233382.0.A1_3p_at",6.09151655959461,7.10167477961855,6.19655110193646,6.49233070145325,6.69393351168175,6.07581471361695,6.51755045947475,7.1526137976233,6.96683529586219,7.35089986017016,6.35387196050884,4.74619679103005,5.73778923194679,6.10076315944117,5.8252064577854,6.08515558643815,6.97266692050138,7.87808519040867,7.7148412709662,7.02969220329802
"Hs.183110.0.A1_3p_x_at",7.54292322224574,7.80783059865724,7.75779850330038,7.65313954920572,6.71880917410328,6.18321880703763,6.47033814764271,6.37835726947181,6.50319293813866,6.44069038181781,7.61481631289254,7.59745944882085,7.6546858067236,7.42352878508388,6.46200078932765,6.55016069109463,6.48831935713739,6.54537425142208,6.55598630582679,6.59731688443503
